EGolden_SWOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
182,1.81E-14,1.62E-08,1.20E-01,1.61E-07,28.64795998,0,0.001944068,-11883.04495,1.76E-14,3.16E-08,7.79E-15,3.29E-02,0.486539527,1.616836368,0.001021892,-1.031590962,0.398502186,3.001057976,-3.85262425,-3.199251592,-9.995966112,-10.26692579,-10.35705309
183,1.80E-14,1.52E-08,4.56E-03,1.51E-07,28.64403459,0,0.001922405,-11886.94921,1.40E-14,1.29E-08,6.83E-15,3.26E-02,0.486048568,1.6168363,0.001019913,-1.031591391,0.398489341,3.001057976,-3.852701734,-3.199281419,-9.996939588,-10.26914838,-10.36183226
184,1.04E-14,1.05E-08,7.85E-04,1.12E-07,28.63928431,0,0.001922405,-11888.81073,9.81E-15,9.70E-09,6.44E-15,3.24E-02,0.485641735,1.6168363,0.001019713,-1.031591441,0.398477384,3.001057976,-3.853320827,-3.199541991,-9.998160347,-10.27061145,-10.36787386
185,4.65E-15,1.02E-08,1.47E-04,9.62E-08,28.63620623,0,0.001921032,-11895.05367,8.74E-15,4.96E-09,3.59E-15,3.21E-02,0.484525721,1.597682019,0.001019243,-1.031591605,0.398477321,3.001057976,-3.853369673,-3.199577108,-9.998160347,-10.27113354,-10.37251553
186,3.85E-15,9.64E-09,1.47E-04,7.82E-08,28.63267784,0,0.001921032,-11909.04355,8.60E-15,3.39E-09,3.06E-15,3.20E-02,0.484041512,1.596962273,0.001016449,-1.031591895,0.398477272,3.001057976,-3.853408086,-3.200134422,-10.00108878,-10.27136775,-10.37254266
187,3.02E-15,9.29E-09,1.47E-04,5.60E-08,28.62888726,0,0.001921032,-11909.16606,7.82E-15,3.18E-09,1.90E-15,3.19E-02,0.483750029,1.596948893,0.001010544,-1.031591908,0.398473899,3.001057976,-3.853822936,-3.200432572,-10.00353965,-10.27309309,-10.3756703
188,2.42E-15,2.28E-09,1.46E-04,4.72E-08,28.62603843,0,0.00179089,-11917.73213,5.44E-15,1.95E-09,1.29E-15,3.18E-02,0.483126494,1.596948745,0.001008805,-1.031593547,0.39846234,3.001047899,-3.853930519,-3.201210828,-10.00398058,-10.2731248,-10.37761627
189,1.44E-15,2.15E-09,1.45E-04,2.32E-08,28.62288724,0,0.00179089,-11919.74266,3.16E-15,1.28E-09,8.97E-16,3.18E-02,0.482941312,1.596948745,0.001008679,-1.031594473,0.39846234,3.001047899,-3.853930519,-3.201422851,-10.00855453,-10.27327492,-10.38246055
190,1.29E-15,2.14E-09,1.45E-04,1.39E-08,28.62088297,0,0.001785037,-11933.05121,2.59E-15,9.23E-10,8.93E-16,3.17E-02,0.482581486,1.596948578,0.000998509,-1.031599334,0.39846234,3.000943467,-3.854156128,-3.202327056,-10.01169038,-10.27410353,-10.38246191
191,1.17E-15,2.05E-09,1.45E-04,1.32E-08,28.61776521,0,0.001707079,-11935.3122,1.92E-15,6.50E-10,4.77E-16,3.16E-02,0.481939377,1.596947596,0.000972692,-1.031599339,0.398451877,3.00091626,-3.854175471,-3.202587886,-10.01169038,-10.27541945,-10.38269837
192,3.54E-16,1.94E-09,1.45E-04,1.26E-08,28.61264107,0,0.001661866,-11936.95587,1.31E-15,5.01E-10,1.75E-16,3.15E-02,0.481174843,1.596947357,0.000972395,-1.031599385,0.398449842,3.000914072,-3.854175471,-3.202751723,-10.01375933,-10.27541945,-10.38378333
193,3.41E-16,1.87E-09,1.43E-04,1.02E-08,28.60885951,0,0.001661866,-11937.77937,1.31E-15,4.25E-10,1.75E-16,3.14E-02,0.480883712,1.57816849,0.000970006,-1.031604483,0.398449842,3.000891435,-3.854260085,-3.203015237,-10.01415411,-10.27541945,-10.38378333
194,2.14E-16,7.86E-10,1.43E-04,7.81E-09,28.60641635,0,0.00165732,-11937.83483,1.31E-15,3.70E-10,9.33E-17,3.13E-02,0.476774982,1.5773644,0.000969872,-1.031604483,0.398446234,3.000887182,-3.854332577,-3.203444855,-10.01464407,-10.27544437,-10.38388029
195,7.12E-17,5.74E-10,1.43E-04,6.34E-09,28.60179972,0,0.00165595,-11939.63792,8.88E-16,1.48E-10,5.77E-17,3.11E-02,0.4754949,1.573825201,0.000968318,-1.031607766,0.398445186,3.000887182,-3.854385722,-3.203647306,-10.01525348,-10.27651864,-10.38607377
196,3.35E-17,5.34E-10,1.42E-04,5.03E-09,28.5977606,0,0.00165595,-11944.97576,0.00E+00,8.77E-11,5.77E-17,3.09E-02,0.475207513,1.57361886,0.000967289,-1.031608706,0.398442669,3.000847463,-3.854386341,-3.203671723,-10.01551025,-10.27904162,-10.38902043
197,2.43E-17,5.33E-10,1.42E-04,3.02E-09,28.59444941,0,0.00165595,-11949.73398,0.00E+00,5.23E-11,4.22E-17,3.08E-02,0.474938255,1.571487234,0.000964715,-1.031609637,0.398428576,3.000838504,-3.854429798,-3.203762647,-10.01685711,-10.28051887,-10.38977597
198,1.45E-17,4.32E-10,1.42E-04,2.19E-09,28.5915951,0,0.00165595,-11949.73398,0.00E+00,4.48E-11,1.11E-17,3.07E-02,0.473980924,1.554338043,0.000955879,-1.031609637,0.398401263,3.000818455,-3.854441622,-3.204280248,-10.01706679,-10.28224827,-10.3897818
199,1.40E-17,3.84E-10,1.42E-04,1.96E-09,28.58784124,0,0.00165595,-11952.09244,0.00E+00,3.29E-11,4.44E-18,3.06E-02,0.473108257,1.534149943,0.000954621,-1.031609688,0.3983972,3.000818455,-3.854441622,-3.204365536,-10.01747966,-10.28495331,-10.3897818
200,9.24E-18,3.37E-10,1.42E-04,1.91E-09,28.58314259,0,0.00165595,-11956.92506,0.00E+00,2.42E-11,4.44E-18,3.05E-02,0.472572152,1.534149943,0.00095215,-1.031609688,0.398394349,3.000818455,-3.854444187,-3.204429605,-10.02125824,-10.28561277,-10.38978658
201,4.05E-18,1.93E-10,1.42E-04,1.65E-09,28.57843219,0,0.00163075,-11958.69776,0.00E+00,1.90E-11,4.44E-18,3.04E-02,0.472560173,1.518757841,0.000951032,-1.031609789,0.398394349,3.000813238,-3.854496846,-3.204805325,-10.02278905,-10.29141304,-10.38978658
202,1.93E-18,1.64E-10,1.91E-06,1.24E-09,28.57415434,0,0.00163075,-11971.09752,0.00E+00,1.57E-11,2.22E-18,3.03E-02,0.472222948,1.518757841,0.000943614,-1.031610257,0.398394349,3.000813238,-3.854606441,-3.205159983,-10.02282148,-10.29322418,-10.39083596
203,1.68E-18,8.12E-11,1.91E-06,1.22E-09,28.57032785,0,0.00163075,-11975.04576,0.00E+00,8.71E-12,2.22E-18,3.00E-02,0.47164328,1.517777484,0.000939698,-1.031610257,0.398388972,3.000812986,-3.854646143,-3.205291491,-10.02507623,-10.29340338,-10.39083596
